,capacity
ALCATEL ONE TOUCH 5019M,1800
MyPhone A888 Duo,1200
Personal Huawei G620S,2000
KFSUWI,2400
Z514,1100
LG-M470,3080
SM-N935F,3200
eSmart M3,1900
LEX626,3000
PSP3533DUO,2000
Micromax A88,1800
Infinix X559F,4000
COR-L29,3750
OPPO A83t,3180
era 4G,2500
A88,2000
IV0318ND,2300
VIVO XL,3150
SKY LITE,3400
A10,3400
C450,800
5058A,3000
Elite Star Plus,1800
M40A,3500
J2 8 Pro,2600
F-05D,1500
ZTE BLADE B111,1600
HTC 0PL41,2000
ZTE V815W,1200
BQ-5702,3100
i70,4500
Micromax D303,1300
QMobile A6,2500
prime5,2400
SM-G310HN,1500
INTEX_IV0118ND,4000
HTC Desire 820G dual sim,2600
Alfa 6,1860
E79,1200
ZTE Blade L4 Pro,2000
K01N,3950
Lenovo S930,3000
BLADE L7A,3200
HUAWEI Y511-U30,1730
KFKAWI,2980
BQ-5516L,3100
Mate 20,4000
BLU STUDIO 5.0 C HD,2000
verykool_Fusion_II_SL4502,1800
LLD-AL20,3000
ITEM T5.5H,5100
SM-T2397,4000
Flare Y6,3020
Plane 1505 3G PS1083MG,1530
GT-S7710,1700
LG-H820,2800
CAG-L02,2280
N402,3000
Titanium S204,2000
Lenovo S90-u,2300
Infinix X5515,3050
vivo Y27L,2260
R2001,1900
SGH-T599N,1500
P20 pro,4000
Micromax A109,2500
SP511,6000
HUAWEI G730-U10,2300
HORIZON LITE PLUS,3000
G55 LITE,1000
E4i,2300
Xs Max,3174
T9 MAX,4000
Nokia_X,1500
Primo F6,2460
R1011,1700
S15,4000
BQ-5009L,3100
U50A MAX,2050
iris51,1750
Lenovo A850i,2250
LG-E425f,1540
Infinix X5515I,3050
A32,1500
CPH1871,3730
Infinix X609,3500
SM-J415G,3300
MRD-LX2,3020
SM-G9200,2550
Aqua_Q1+,2300
Omega 5.0,2100
Unite U1,3500
SM-G920L,2550
TURBO,3900
WIM,3200
RS500,2125
MTN Sm@rt L860,1350
Q626,2000
X6plus,3000
G3125,2300
LG-E470f,2150
ASUS Transformer Pad TF700T,25
BLU STUDIO 5.0 Ce,1800
BG2-U03,3100
SM-N9600,4000
hi6210sft,2200
5085D,2800
SM-N900L,3200
DD-1GB,1900
L60,1540
HTC Sensation Z710e,1520
P4,1800
Mate 20 Pro,4200
POT-LX1,3400
Venue 7 3730,4100
2PQ93,2150
GT-S6810P,1300
Primo E8s,2600
R6,4300
ARS-L22,5000
SM-G316ML,1500
SM-G313H,1500
HTC Desire 526GPLUS dual sim,2000
Y6,3020
GT-S6312,1300
HM NOTE 1S,3100
ZTE T610,4000
Lenovo K40,3000
HW-SCL-L32,2200
ONE TOUCH 4015D,1300
MI 2A,3000
Many NH3.5,3300
GT-N9000,3200
GT-S7572,1500
Coolpad A118,2500
GT-S5303,1200
SM-G930K,3000
GT-55360,1200
GT-I9100G,1650
PRO 6,2560
MAX 8,5000
ORINOQUIA Auyantepui+Y221-U03,1350
LG-D320,2100
LT28h,1900
Z9 LITE,2900
N9810,2500
Q1010i,2250
ULTRA,5000
J7 Prime 2,3300
LG-D858HK,3000
305SH,2040
Grace 1S,3060
Q1000,2100
SM-J7 pro,3600
LM-X220,4100
4045A,2000
IS2PLUS,3580
R831L,1900
GSM50,4000
Lenovo YB1-X90L,9600
S960,2000
A780i,4000
Mi438S,1350
EVERCOSS_A74A,1500
VOX POP plus,1200
A7S,3300
SM-A750FN,3300
ANE-LX2,3000
HW-03E,3000
G526-L33,1950
MITO A900,2000
S820,2000
E5506,2930
ZTE Blade L2,2000
HUAWEI Y360-U93,1730
A102,2500
SM-J410G,3300
6071Y,2000
Micromax S302,1450
Primo E8,2600
A518,2000
Primo R5 Plus,2000
COVET,2200
E6533,2930
Desire 626G+ dual sim,2000
LG-E435g,1540
Alcatel9007T,2840
Wiko 8089,2350
C2304,2390
U46,2000
Nokia 6.1 Plus,3060
HTC Desire 820s dual sim,2600
P00L,4890
LG-D693,3000
K3,3765
NEM-L22,3000
SM-J410F,3300
ALCATEL ONE TOUCH 5036A,1800
L51 Pro,3000
G8441,2700
SM-G960U1,3000
V7 Zyro,2500
LT26ii,1750
LG-F160S,2150
HTC Desire 620,2100
P520,1500
LG-F160L,2150
moto g(6) (XT1925DL),3000
Mione Mix mini,4400
WE L9,2150
G620S-UL00,2000
HTC S710d,1450
BS500 mega,2600
Lenovo TB3-730F,3450
WE A50,4000
TECNO S9,3000
X1 Dual,2150
Infinix X623,4000
TELMA FEEL,2500
BQ-5512L,3100
Myria_FIVE,3000
HUAWEI Y511-U10,1730
Redmi Note 6 Pro,4000
LenovoA3300-HV,3500
NX541J,5000
Touch XL 2,4900
VISION LTE,3500
Mi438,1350
E2104,2300
Micromax A310,2500
SM-G357FZ,1900
SM-J7 Duo,3000
5033X,2460
FLA-LX1,4000
B502 Basic,1800
HTC6435LVW,2020
YUHO_Y2_PRO,3080
E561,1800
SLIDE2,2820
iPlus1,3100
4009A,1300
CHAMP15,5000
SM-J610FN,3300
W-K200,900
reeder_M7_Go,5000
U78,910
SM-G3812B,2100
B3-A40,6100
G5,2800
C150,1020
ALCATEL ONE TOUCH 5036D,1800
LG-K240,2800
SOV32,2900
LG-D959,3500
A53C,3075
X8,3210
S5J+,2800
V1 mini,4490
Aqua_Q5,4000
C6,1200
Che2-UL00,3000
Smartphone 3.1 Lite,2990
R20,3750
SM-G720N0,2500
i7 Plus,2900
Galaxy J6,3000
Lenovo A3600-d,2000
SM-J600GF,3000
Q50+,1000
NX591J,3200
Aqua_Y2+,1500
Play8X-1100,2100
Vmobile J7,3000
T4,1400
Lenovo S850,2000
8262,1800
i700,1100
SM-J337AZ,2600
Lenovo S580,2150
M110,1000
MITO A60,3500
X70,780
A462C,1800
Aqua_Star_L,2000
LG-P895,2100
BQ-5300G,3100
J7 Max,3300
SM-A505F,4000
A500s Lite,1400
HUAWEI G610-U00,2150
IX Plus,2716
SM-J260T1,2600
HTC Desire 628,2200
HUAWEI G7-L11,3000
LG-F320S,3000
ASUS_Z01BS,3000
SOV33,2700
SM-G710S,2600
T8301,2990
SM-G7102T,2600
HUAWEI G730-U00,2300
V11,3400
SM-T595,7300
ELUGA Ray 550,3250
S10+,3400
SM-C5010,2600
Infinix Zero 4 Plus,4000
Ultra Wave,1500
GT-S6810M,1300
A111,2100
Azumi IRO A55 Q Pro,1400
GO 55303,3000
YM-R7,2320
GO 55307,3000
BQ-5058,3100
E6,3000
VS415PP,1540
HTC Incredible S,1450
S41,5000
L-ITE 552,3000
verykools5028,2000
Smart2 Pro,3050
B450,950
BLU STUDIO C 8+8,3000
WAS-LX2J,3000
Aqua Y4,1600
5059I,2460
SUGAR C7,3300
SM-G390F,2800
Z5 Lte,2900
G8,3500
B1F,2400
HM-G152-FL,2000
SM-G530Y,2600
5099D,3000
C2305,2390
P20,3400
MX1,1600
Altice_S31,4000
E60,970
TECNO B1p,5000
Lenovo A3500-HV,3450
LM-X410PM,2880
Pure F,2020
EVERCOSS A7A,1400
vivo 1814,4030
1320,3400
SM-G850K,1860
WZX-10,3400
CM CM1,2600
LG-F430L,3200
BUSH SPIRA B4 5.5,3000
Micromax A255,2300
ZTE BLADE A530,2400
Spice Mi-535,2550
Panasonic P55 Novo,2500
T07,2000
A7G,5000
C5 PRO,2600
Ctrl_V3,1800
Coolpad Y803-9,2500
vivo 1851,3260
GT-P5220,6800
5E,2100
Micromax Q336,1650
irisX1+,2100
SCH-I605,3100
R7+,2320
H850,2800
Fire Phone,2400
INOI_1_Lite,700
TECNO_P5_PLUS,2100
ECHO,1370
LG-F240L,3140
SBM303SH,3000
Transformer TF101G,24
HTC Desire 820G PLUS dual sim,2600
ELUGA Ray 600,4000
ASUS_X01BDA,5000
5041D,2000
Z970,3400
ASUS_Z00D,2500
SM-J737S,3300
SM-N915G,3000
SM-G930R7,3000
VLE5,650
H250,2540
Karbonn Titanium S3,2000
SM-G3812,2100
HM NOTE 1W,3100
TAB 627 3G,3600
CPH1875,3730
PSP7501DUO,1950
GIONEE S11 lite,3030
Mate 10 Pro,4000
A37,2630
Redmi Note 7,4000
A2000,2000
Aqua Life II,2000
A7V+,3500
HTC Desire 601,2100
Micromax A093,1750
B77,1200
Symbol,1700
GT-S7278,1500
vivo 1816,4030
BQ-5302G,3100
Z709,2800
A7E,2600
W94,3050
BLU_NEO_ENERGY_MINI,1700
Micromax D320,1600
SD4930UR,2400
LG-D686,3140
S4P,3000
moto e5 (XT1920DL),4000
QMobile L15,2800
SM-J3109,2600
Q700S,1800
E111,2400
SM-G9280,3000
i25,1320
BQ-5301,3100
LG-P768,2150
i90,4030
SM-M205G,5000
SM-A9,3800
Tecno M9,3500
LG-P713,2460
Sigma,2800
R8201,2420
Y635,2000
GT-S6812B,1300
lenovo P06k600,3000
B15,2000
O+_360_HD_2.0,4300
Coolpad A116,2500
INTEX AQUA LIONS E3,2300
Note1,2500
C7,3300
SM-G3815,2100
Wiko T998,2350
Studio Mini LTE,1850
Galaxy NOTE 9 SM-970F,4000
LG-F570S,2050
4013D,1400
iris460,1650
STK Sync5.5,1900
SO-01F,3000
Summit,1400
9005X,3240
Micromax Q345,2800
Life Play,1800
Shoot_2,3000
SM-A7000,2600
U11 Max,3000
SM-A800S,3050
HTC One mini,1800
XT1079,2390
N9517,3000
Atom,1530
HTC Desire 310,2000
Six Mobile,4300
HUAWEI U8815,1350
ZC520KL,4100
Advance L4,1300
IP8 Plus,2691
SM-S367VL,2600
SM-G610L,3300
HUAWEI Y321-C00,1350
QMobile X90,1800
GT-S7583T,1800
Che2-L23,3000
SM-J415GN,3300
XP2,1300
Z303,2000
vivo X710L,2600
HUAWEI G730-C00,2300
Energy Tablet 7 Neo 3,3600
M6T,3300
Samsung KT107H,4500
QMobile LT550,1700
LT26w,1910
Philips W8510,3300
ASUS_X008DC,4100
LG-X147,1700
SM-G9208,2550
Optima 7010D 3G TS7099PG,3000
SM-J110F,1900
vivo Y27,2260
TIT-L01,4000
A1805,3000
Infine,4000
Micromax A120,2000
COOLFIVE,4000
GT-S5280,1200
HTC Desire 210 dual sim,1300
SM-G925P,2600
Archos 50c Platinum,2000
SpiceMI-520N,2000
Dash L5 LTE,2000
vivo 1818,3700
SM-G960N,3000
Aqua Strong 5.2,2300
5059Z,2460
Micromax S300,1200
GT-S6012,1300
V10_Pro,3000
5133A,3000
GT-S7273T,1500
P770,3500
Lenovo TB-X304X,7000
CHICO OJOS 7,3000
e551 Lite,2230
KRIP_K4,1940
SM-G3586V,2000
XTR X4,4550
SM-A305FN,4000
ONE TOUCH 4015N,1300
HTC_A9sx,2300
Vega,3140
Acer_One_7_M77GHG,3700
OPPO A37f,2630
J2,2000
ZTE Blade A5,2600
SM-J510H,3100
G630-U20,2000
Aqua Dream II,2000
C2005,1750
VOX S502 4G VS5013ML,2500
EML-L29,3400
LG-H222,1900
SM-A600T,3000
I503,2900
SM-G3502,1800
BUZZ 1 Plus,4000
VIBE_S2i,2700
Flair S1,2000
vivo X5Pro V,2450
ALCATEL ONE TOUCH 7042A,1900
Lenovo Z2,3000
SM-G3588V,2000
HRY-LX1,3400
Eon43i,4020
A6 Turbo 3G,1450
X9 PLUS,4000
VIE-AL10,3400
ASUS_X01AD,4000
NokiaX2DS,1800
XT1052,2200
E2353,2400
Micromax A121,2000
5033A,2460
S8_Pro,3000
Y3,4000
ILIUM S700,2100
Primo G7+,3300
ZTE T815,1200
QMobile i5i Lite,1700
Tecno M6,5000
SM-G386F,2100
V4 Nano,2500
C12 Pro,3500
JKM-LX1,4000
HUAWEI G730-U30,2300
A7S*,3300
A4You,1200
C210AE,2000
Galaxia S1,1500
LM-X410.FG,2880
MIX Lite,4400
7CZ,5000
B4S,1800
SOV34,2900
TOUCH SMART-PRO10,4500
HUAWEI G6-U251,2000
A53*,3075
Nobby S300,570
Nokia 8.1,3500
BGH Joy 303,1900
mi a3,4030
BQ-4001G,3100
TECNO F6,2460
MAXTRON-V17,4500
C75,750
SOV35,2900
X9006,2800
Aqua Star II 16GB,2000
TECNO P5,1850
HTC U Play,2500
SM-G530MU,2600
Tiger T7I-8,4300
S90 Q,2300
T3 Pro,4800
XT1766,2800
W63,1500
TECNO CA7,3750
Y635-L21,2000
E220,1000
Lenovo K32c30,3000
LG-F320L,3000
GT50,420
A703 vivo,4350
SM-E7000,2950
MITO_A82,2000
K00C,31
Armor_3,5000
SM-T116BU,3600
i2,2000
Lenovo A388t,1500
HUAWEI Y550-L01,2000
Infinix X509,3050
DIG-L23,3000
Lenovo A316i,1300
TECNO CA8,3750
ZTE B2015,2800
RCT6213W87DK,2000
Colors P45,1800
Lenovo S960,2000
Flare Y3 mini,4000
IM-A860S,3140
Lenovo YT-X703F,9300
SO-02J,2700
BQ-1083G,3100
Micromax A82,1800
SM-J810F,3500
eZee-Tab10Q17-L,5500
4009S,1300
fnac 4.5,2850
A239,3240
A6S,3300
S300,570
Mars_11,3800
J8,3500
Panasonic ELUGA L 4G,2000
P1,5000
X1 mini,1750
FS8026,5000
Acer One 7 4G,3700
Mione Mix9 Pro,4000
HUAWEI G525-U00,1700
BLADE A521,2540
EVERCOSS A74A,1500
Micromax Q371,1700
SM-G611F,3300
star_plus_plus,1800
SM-T357T,4200
5085I,2800
A34,3000
Nitro_5R,2000
HTC One E9 dual sim,2800
S303,1200
LINQ L10,2000
X5max,2300
U7 Plus,2900
HTC Desire 320,2100
SM-T590,7300
K89,4000
Lenovo X2-EU,2300
UltraJ8,3500
B1-730,3700
A10_Plus,2200
E6810,3240
ZTE B2016,2800
MyPad 2,6190
Onyx-3,1230
SM-S357BL,2600
ELUGA Note,3000
UItra 4,4000
ONE_TOUCH_PIXI3D,1400
5085B,2800
vivo 1819,4000
Lenovo YT3-X50M,8400
SM-G130BU,1300
Comio X1 Note,3000
Top_P9,3000
U8836D,1930
QMobile Z8,2400
Elite Go,1600
VIVO GO,2600
PadFone T00C,1500
ONE TOUCH 4015A,1300
Nomi i5011,3800
S60 Lite,3800
BLADE E01,1250
P1S,1800
A9 Pro,5000
62S,3000
iris X1,2100
Lenovo K320t,3000
PLK-UL00,3100
i-mobile IQ X3,1500
A580+,2150
AS-10,4000
X55,2200
SGP321,6000
Royal R5,2000
X10S,4300
Life One X,2900
HTC Desire V,1650
LG-MS770,1700
Coolpad 8720L,2500
SM-P905V,9500
IM9,3300
SM-T311,4450
SM-J320N0,2600
ZTE LEO Q1,1800
XOLO One HD,2300
SM-N920A,3000
9030,2500
NC Poseidon,950
vivo 1815,4030
T5-A,5100
Ginzzu GT-8110,9000
A8+,3000
Astro_5N_LTE,2000
BQ-5201,3100
K21,3200
LM-X410.F,3000
M21s,6000
SO-03H,3430
B1-723,2955
IVO V5,3000
GSmart Roma R2,1400
Omega Lite 3s,3100
SAMSUNG-SM-G900AZ,2800
Era 2X 3GB,2500
VFD 720,2900
H7,2500
Light A103,3000
HTC_A9u,2150
HUAWEI G7-L03,3000
Z2_PRO,4000
Infinity 1,2980
X450,720
MT-6,3300
SM-G350,1800
BQ-5340,3100
TB-8704V,4850
FRD-L04,3000
M706A,25
G3123,2300
meizu C9,3000
FRD-AL00,3000
Micromax Q324,1450
Aqua Turbo 4G,2300
Omega,3100
Forme R7,2320
InFocus M350,1500
Inco Flex 2S,3000
LGL163BL,3500
M5 Pro,7500
LS032I,3800
SGPT12,6000
LG-P714,2460
MediaPad 7 Youth,4100
LGLS751,3000
Energy Pro Jewel,5020
Micromax Q4002,1300
SO-01J,2900
MiniC10,4000
DUB-LX1,4000
D5303,3000
LUNA V55,1650
QMobile i6 Metal 2018,2000
ASUS Transformer Pad TF300T,22
GT-I9210T,1850
MI 5C,2860
SM-G965N,3500
LINX A500 3G LS5101MG,2300
SM-G313U,1800
e-tab4,4000
SM-G710K,2600
Micromax A177,3000
D2105,1750
Beeline Smart Dual,4000
JS 700,2600
MITO A18,4025
Be Touch 2,1000
M7-3G QUAD CORE,2300
LM-X210APM,1500
HTC Desire 12,2730
HTC 2PZM3,2000
"Ixion X LTE 4.5""",2400
F7,3400
ANDY_35EI,1300
Ultra Charm,5000
A463BG,1300
MITO_A260,3500
A536,2000
itel S11 Pro,1800
8068,2580
Ilium L920,2000
Redmi Go,3000
770N,3500
Cyrus Chat T2017,1500
HUAWEI Y625-U13,2000
Z40,2250
GT-S7392L,1500
GT-I9502,2600
BQ-5033,3100
JY-G4C,2540
TB717G,2800
Action-X3,3000
Basco L3,3300
VOX 4s,1432
HTC 9060,3200
HUAWEI Y360-U03,1730
SM-J400G,3000
BLADE V8Q,2730
LA2-S,3300
ZA977,3500
QMobile_LT600_PRO,2000
E380,750
Allwinner A10,3400
IQ4404,1920
HTC Desire 326G dual sim,2000
LG-E440,1700
vernee_M5,3070
W2,1700
JSN-L22,3750
Q3000,4000
A33E,2400
U60,900
E58,2700
ZTE T220,4000
Xperia H870,3300
LM-X220PM,2500
E500,800
LG-F800S,3200
TECNO-M3,2870
SM-G6100,3300
Q10+,2100
SM-G611M,3300
Stark K1,3600
GT-I9305T,2100
AG5,2800
HTC Desire L dual sim,1800
Auxus PRIME,25
Xperia Z5,2900
SM-G160N,1800
LG-F500K,3000
LG-E455f,1700
LG-AS330,2125
Panasonic ELUGA I,2000
DUKE6 Plus,3570
Infinix X624B,4000
P8,2680
BQ-5211,3100
W701,9800
V4S,1800
LG-D227,1900
M580,1160
JS 300,3600
vivo S7i(t),4100
GT-S6313T,1300
SM-A9 Star,3700
ALCATEL ONE TOUCH 5036X,1800
Alcatel_5059R,2460
5026J,3000
Lenovo A5500-F,4200
SM-G900L,2800
A3_4G,4030
GT-N8013,7000
X7+,3500
SC010,6800
HUAWEI VNS-AL00,3000
X210,2125
M4,2400
SAMSUNG-SM-G930AZ,3000
G620S-L03,2000
Prime L,2460
Note9,4000
A11 pro,4000
DIG-L21,3020
Lenovo YT3-850M,6200
MI 8 SE,3120
NOTE 5,3000
T705,4900
SMART 4G Speedy 4.0 Plus,1880
LenovoA3300-H,3500
SM-T385L,5000
x600,900
Studio J8 LTE,2500
PAP3501DUO,1500
4035D,1400
One Pro,4000
GT-S5312,1200
NUU_A1,3180
SC-05G,2550
IM-A900L,3140
302U,4100
SM-J737A,3300
SM-T719Y,4000
Micromax Q409A,2980
CPH1851,4230
M4 SS1060,5000
Ixion X150,800
ZTE T221,2540
GT-S7568I,1500
HUAWEI TIT-L01,4000
Hyundai E500,2100
6016A,1700
X2_Soul_Xtreme,3500
Y635-L02,2000
GT-I8260,1800
IMO Discovery II,4000
LG-P970,1500
Micromax A190,2000
QMobile X11,1300
E1 Selfie,4000
LM-V405,3300
SM-S978L,2400
N9600,4000
TECNO KA7O,3500
LINX A501 4G LT5010PL,5020
STUDIO6_0HD,3000
Samsung G965F,3500
LG-D690n,3000
SM-A105F,3400
Aqua_Eco_4G,2300
LG-E615,1540
Venus E3,3360
SmartPRO,4000
HTC Desire 512,2100
Nokia 2 V,4100
Y7,4000
K350t,3000
i3s,4100
SM-G313MU,1800
INTEX AQUA 7,2300
Eon53i,1900
P8 PRO,3000
Flair E2,1400
Q55,850
HT28,1900
Micromax Q379,3000
Elite 3,4070
Studio G3,2050
Me 3,4230
GSmart_Classic,2000
TM-5505,1800
RMX1825,4230
LOGIC L5S,1500
CUN-TL00,2200
HTC One X+,1800
Mars 1,3800
LM-V350,3300
SM-J530K,3000
SM-J500Y,2600
LT22i,1305
QMobile X900,2100
MRD-LX1F,3020
CUBOT R9,4120
Optima 1026N 3G TT1192PG,3000
BQ-5008L,3100
ELUGA Ray 530,3000
TECNO B1,2400
G3,3000
E90,1500
HTC U11 life,2600
QMobile X2,5000
5065D,2000
Samsung S7818,4500
Meizu M6s,3000
F605,1000
PAP5450DUO,1500
SM-M105F,3400
LG-F400K,3000
A680,2000
Avvio L600,2100
Lenovo TAB 2 A7-30GC,3450
HTC_U-1u,3000
CPH1969,4000
Air A9 4G,8827
MITO A310,1500
BLN-TL10,3340
V28,2100
SM-T530NN,6800
ASUS_X00TDB,5000
Micromax Q4204,5000
Pouvior 2,5000
A570BL,1300
Lenovo A338t,2500
Lenovo TAB 2 A10-70L,7000
TECNO CF7,3750
vivo 1820,4030
IO,700
SM-A505FN,4000
ALP-L29,4000
Optimus L9,2150
A500CG,2110
C239,960
U FEEL ECOM,2500
GT-P3113,4000
Numy 3G P97,3500
C7 Plus,3000
GT-S7272C,1500
LG-E435f,1540
CPH1909,4230
Vivo XI+,3000
V12,5000
R1 HD,2500
Jazz J1,1850
MS40,3600
JOY JD5546G,1900
Impress_Calypso,1150
PLAY Club,3000
ZTE Blade V6 Plus,3000
Go Connect Lite 2,3750
N8000,7000
Philips S257,2100
6036Y,2000
LG-D631,3200
U613,1400
Z4,3600
Y1,3080
CPH1707,3000
LG-D125,1540
Quantum You 2,2000
H4213,3580
LEM8,420
SM-G925A,2600
Smart2,3050
C552,650
Aqua 3G N,2300
T805S,7900
E39,3500
C-702,950
SGH-T399,1800
ORVIT,1600
ZTE BLADE V7,2500
Flare J3s,2600
Aqua Y2,1500
8082,3500
iris400Q,1700
NX510J,2900
Opus S3,2500
SM-G925K,2600
U70,2500
LG-E410,1540
Coolpad E501,2500
baoxue,5100
IMO S2,3300
ZTE BLADE A6,5000
SHV-E120K,1850
ZTE T230,1500
Revel 3G,3000
G65,2100
MAX_1,2000
SM-N915K,3000
ASUS_Z01KDA,3300
SM-G615FU,3300
Infinix HOT4 LTE,4000
Tune Z2,3200
Nokia 5.1 Plus,3060
itel A44 Power,1500
FLIX,1200
iQW503,4000
SM-T715Y,4000
Lenovo A858t,2250
iris X9,2500
EML-AL00,3400
SM-J510L,3100
ZTE Blade A452,4000
ZTE BLADE A610C,4000
iris X8s,2500
L93,2500
MYPAD10,19
QMobile i9,2000
C11_Pro,3750
X557,4000
C5 Plus,2200
D2004,1700
Hyundai Aero,1000
SM-A105G,3400
SM-A6050,3500
Lenovo TB-7104F,3500
iris512,1750
ZTE Blade C370,2000
SM-A6,3000
SM-S902L,2800
SM-T713,4000
QMobile X500,1700
SM-G970U,3100
201F,8220
ASUS_X013DC,3010
iris503,2000
Panasonic T40,1500
QMobile i5i,1700
i8 Rs,2120
Q620,4000
RS988,2800
QMobile X30,2400
SM-J810M,3500
HTC Desire 626GPLUS dual sim,2000
LML211BL,2500
Y8,4000
SM-A205F,4000
SM-G750H,2800
F6003,1100
vivo X5Pro D,2450
G10,3340
Touchy+Vibe,3000
GT-I9105,1650
d-01G,4800
Tab1,4000
Mi Mix,4400
Lenovo A328t,2000
NX403A,2000
SAMSUNG-SM-J727AZ,3300
LG-E415f,1540
Luna,1650
R831,1900
SM-A7100,3300
HUAWEI Y300-0100,1730
YOUNG Y36+,1300
M4_B2,5000
TABS6,7040
SM-G935S,3600
HM NOTE 1LTEW,3100
MITO A75,1300
HTC Butterfly,2020
Ridge 4G-Fever,2900
5501,2000
Xperia XZs,2900
Panasonic ELUGA S,2100
4009X,1300
Aqua,2400
Lenovo A3500-H,3450
Lenovo S920,2250
R8106,2000
Colors P50 Plus,4200
GT-S7275B,1500
Lenovo A800,2000
SM-G360GY,2000
B5s,3000
GT-S6790L,1300
LG-AS110,2100
GT-I8530,2000
Z50Q Star,1200
SM-A8000,3050
SM-A750G,3300
JAT-LX1,3020
Micromax A110Q,2000
SM-G9700,3100
Z500,960
LG-D801,3000
S502,1010
Z3 Play,3000
S5X+,2800
vivo X3t,2000
Lenovo A526,2000
SCH-I200PP,2100
R8006,2410
CPH1893,3600
Infinix X626,4000
KIS C341,1400
Alfa 4,1860
N9Pro,5020
ACCESSGO A4E,1550
5051M,2500
SM-J7108,3300
Intex Aqua 4.5E,1600
SCV38,3000
UP Sense,1520
A180,950
ASUS_Z012DB,3000
Z50_Pro,2000
iris60c,4000
L8401,4100
ZTE T311,1850
S4H,2600
YOGA Tablet 2-830L,6400
G13,1500
HTC Desire 526G,2000
SM-N910R4,3220
T1 Plus,4100
SPH-D710VMUB,1800
Vivax SMART Point X5010,3060
QMobile T200,1450
ZB633KL,4000
Y613,1000
ZL10,2620
vivo 1902,5000
BAH2-W19,7500
IrisPad G8010,7000
HUAWEI TAG-TL00,2200
Fire2 Air LTE,2050
A25,1280
Y85,3260
VISTA,3000
VTEL X1,2150
Wieppo S6 Lite,7040
ZTE BLADE V0920,3200
SM-T387V,5000
GL07S,2420
A2018,3000
Studio J8M,2000
Lenovo A880,2500
GT-I9082C,2100
QMobile A1,4010
vivo Y613,1000
Armor,5500
Vivo XL2,3150
BQ-4501G,3100
SM-T217T,4000
Desire 626s,2000
M BOT TAB 100,4000
SM-G5308W,2600
SM-J8,3500
i1 Mini,4490
5034D,3500
L4,3580
OK-LS2,1700
PlusIC,2691
LG-D685,3140
MI 2S,2000
J7+,3000
H21+,3200
E7mini,2200
V5 PLUS,3160
EVERCOSS A7R,1400
Live,3000
LGMS323,2100
YU5014,4000
8500 Super,1500
HUAWEI LYO-L02,2200
TECNO-M6S,3000
D6502,3200
E2053,2300
PLE-701L,4360
SM-G7108V,2600
LM-X410S,3000
Meizu M8c,3070
SM-J260AZ,2600
A53,3075
LG-E455,1700
ML-CH-MS45_4G,4500
KIREI A5Q PLUS,5000
XT914,1785
GT-I9158,2600
LT29i,1700
QMobile T250,1200
Z992,1800
T1L,4100
LGM-X600S,3000
HTC Desire 826,2600
S35H,1650
HUAWEI Y221-U33,1350
GT-S5310I,1200
Archos 45d Platinum,1600
Note 10,3500
GT-N7105T,3100
Tecno AL86,3050
HUAWEI RIO-AL00,3000
Hot 5X,4000
F200 Pro,2150
SHW-M585D,2000
SM-J5 Pro,3000
E1,1700
B1-870,4550
XP3,1180
FL03,3100
Micromax E457,2500
B8800,9000
Plane 7012M 3G PS7082MG,650
vivo 1811,4030
M706-4,7000
i50F,2460
Horizon H70-W,1920
SM-G975U,4100
4013K,1400
SM-G973U,3400
C1001,3000
X23mini,3400
GFIVE President Smart 2_s,2800
HTC_M9u,2840
HTC_D828g,2800
SM-N920S,3000
XT1072,2390
L2,3300
GT-P6200,4000
K4,1940
i15,5000
Opa!,2000
Hol-U10,2000
EASY55,580
MT788,2470
SM-J600L,3000
SM-C115M,2430
CROSS A88,2000
P330X,3240
ALCATEL ONE TOUCH 7040E,1900
ZTE BLADE V0800,2730
V3+,2550
IPHONE8,1821
GT-S5283B,1300
S480,1000
IK-800W,2100
SM-G386W,2100
N5116,2140
Easy F,2500
XT1670,2800
Go SP 2,3000
E6883,3430
Z7,3000
BQ-5059,3100
NUU_M3,2870
LG-H871,3300
Z730,1500
Forward F1 plus,2850
Philips S369,2300
W67,5000
V9 LTE,3260
TNY-AL00,3500
STUDIO 5.0K,2000
YU5040,3000
ZTE BLADE V7 LITE,2500
K018,5000
K8,2125
SM-G860P,2800
GT-S7562i,1500
Tecno T818,1000
Max10,3200
A12B,4100
LG-F470K,2540
Lenovo B6000-HV,6000
CROSS A11,1500
Flare J6,3000
SHW-M570S,2000
LGM-X320S,4500
500D,700
Spice Mi-449 3G,1450
7053D,2150
SM-T320,4800
TECNO M5,6020
Le X626,3000
HT7 Pro,1230
SM-A6+,3000
SM-T387T,5000
Amazing X2,4000
S970,2100
Primo_S4,2600
Y300,1730
Griffe T7,5000
verykoolS5030,2200
Z719DL,3400
i10 plus,1700
Lenovo A516,2000
SM-M205F,5000
Lemon Blaze 507,2750
BGO-L03,4100
ZeusPhone ZP-421,2200
PCD509,2000
A6 Turbo,1450
SM-G975F,4100
Lenovo TB3-850F,4290
GT-I9195T,1900
401SH,2030
X23,3400
E0108,4300
4055U,2050
SM-T365,4450
PMP5101D3G_QUAD,7000
A925,1050
LGM-G600L,3300
AERO J0202   J0202HC5AMC1XX,1000
SM-C101,2330
GT-S5310L,1200
I4,3000
HM2014819,2200
U20,5000
X60,1500
